X,Y,Z,rX,rY,rZ,id
-3.22402,0.788446,-2.73974,2.40417,0.055532,2.59937,342
-3.24666,0.787221,-2.7309,2.40673,0.0566171,2.60008,343
-3.2658,0.790228,-2.72351,2.41244,0.0575655,2.6038,344
-3.28612,0.793504,-2.71485,2.41531,0.0586214,2.60424,345
-3.30496,0.795387,-2.70802,2.41238,0.0593414,2.59829,346
-3.31523,0.806073,-2.70213,2.40777,0.0599748,2.59246,347
-3.32657,0.81147,-2.70086,2.40949,0.0599641,2.58994,348
-3.33844,0.816243,-2.6962,2.40617,0.0603505,2.58371,349
-3.34861,0.822649,-2.69323,2.40513,0.0605464,2.58069,350
-3.36073,0.82059,-2.68202,2.4108,0.0621094,2.58478,351
-3.38099,0.815393,-2.67635,2.42449,0.0627161,2.59756,352
-3.39796,0.812519,-2.66896,2.42923,0.0636133,2.60039,353
-3.42142,0.807213,-2.65981,2.4329,0.0647942,2.60174,354
-3.44288,0.801126,-2.64689,2.43537,0.0666424,2.60142,355
-3.46425,0.794504,-2.63647,2.44208,0.0682769,2.60502,356
-3.48472,0.788342,-2.62619,2.44954,0.0700518,2.61067,357
-3.50664,0.786606,-2.61686,2.46054,0.0717033,2.61622,358
-3.52616,0.780866,-2.61013,2.46726,0.0728137,2.61795,359
-3.54622,0.777165,-2.60105,2.46991,0.0743912,2.61664,360
-3.56694,0.775762,-2.58941,2.47186,0.0766607,2.61587,361
-3.59378,0.769546,-2.57667,2.47182,0.0793004,2.61208,362
-3.61346,0.770948,-2.56668,2.46358,0.0812571,2.59964,363
-3.63228,0.766165,-2.55267,2.46551,0.0848023,2.5975,364
-3.65247,0.765712,-2.53954,2.48012,0.0888451,2.61201,365
-3.66824,0.76571,-2.53636,2.50503,0.0902584,2.63755,366
-3.68737,0.765624,-2.53263,2.51783,0.0915538,2.65259,367
-3.70519,0.763828,-2.52421,2.51705,0.0942403,2.65317,368
-3.7223,0.762476,-2.51721,2.51289,0.0965358,2.65018,369
-3.7383,0.756204,-2.51216,2.50962,0.09829,2.64937,370
-3.7614,0.758244,-2.50144,2.50311,0.102418,2.64983,371
-3.78017,0.754666,-2.49231,2.50012,0.104646,2.64864,372
-3.80154,0.749522,-2.48285,2.4989,0.106781,2.6492,373
-3.82345,0.742235,-2.47364,2.49916,0.108943,2.6507,374
-3.84591,0.734965,-2.46537,2.50029,0.110946,2.65154,375
-3.86521,0.732752,-2.45693,2.49998,0.113002,2.65268,376
-3.88219,0.733222,-2.4529,2.50448,0.114049,2.65896,377
-3.908,0.727078,-2.44266,2.51012,0.116673,2.66365,378
-3.93254,0.723944,-2.43367,2.51316,0.118941,2.66668,379
-3.96051,0.721047,-2.41845,2.51493,0.123132,2.66908,380
-3.9725,0.719619,-2.4013,2.52105,0.127772,2.67514,381
